0 0.05 1.79166
0 0.15 2.39789
0 0.25 3.02285
0 0.35 3.66521
0 0.45 4.32248
0 0.55 4.99081
0 0.65 5.66478
0 0.75 6.33729
0 0.85 6.99945
0 0.95 7.64067
0 1.05 8.24869
0 1.15 8.8098
0 1.25 9.30907
0 1.35 9.73069
0 1.45 10.0583
0 1.55 10.2757
0 1.65 10.367
0 1.75 10.3172
0 1.85 10.1133
0 1.95 9.74408
0 2.05 9.20128
0 2.15 8.47985
0 2.25 7.57852
0 2.35 6.50024
0 2.45 5.25253
0 2.55 3.84779
0 2.65 2.30343
0 2.75 0.641911
0 2.85 -1.10928
0 2.95 -2.91787
0 3.05 -4.74712
0 3.15 -6.55632
0 3.25 -8.30137
0 3.35 -9.9355
0 3.45 -11.4102
0 3.55 -12.6759
0 3.65 -13.6835
0 3.75 -14.3848
0 3.85 -14.7343
0 3.95 -14.69
0 4.05 -14.2146
0 4.15 -13.2764
0 4.25 -11.8512
0 4.35 -9.92217
0 4.45 -7.48162
0 4.55 -4.53128
0 4.65 -1.08305
0 4.75 2.84064
0 4.85 7.20661
0 4.95 11.9709
0 5.05 17.0791
0 5.15 22.4666
0 5.25 28.0597
0 5.35 33.7759
0 5.45 39.5256
0 5.55 45.2132
0 5.65 50.7387
0 5.75 55.9995
0 5.85 60.8919
0 5.95 65.3136
0 6.05 69.1653
0 6.15 72.353
0 6.25 74.7901
0 6.35 76.3993
0 6.45 77.1146
0 6.55 76.8834
0 6.65 75.6677
0 6.75 73.4459
0 6.85 70.214
0 6.95 65.9863
0 7.05 60.7964
0 7.15 54.6969
0 7.25 47.76
0 7.35 40.0767
0 7.45 31.7561
0 7.55 22.9241
0 7.65 13.722
0 7.75 4.30446
0 7.85 -5.16261
0 7.95 -14.5046
0 8.05 -23.5412
0 8.15 -32.0889
0 8.25 -39.965
0 8.35 -46.9902
0 8.45 -52.9924
0 8.55 -57.8098
0 8.65 -61.2946
0 8.75 -63.3159
0 8.85 -63.763
0 8.95 -62.5479
0 9.05 -59.608
0 9.15 -54.9082
0 9.25 -48.4423
0 9.35 -40.2347
0 9.45 -30.3408
0 9.55 -18.8475
0 9.65 -5.87234
0 9.75 8.43676
0 9.85 23.9035
0 9.95 40.3249
0.05 0.05 5.13598
0.05 0.15 6.89175
0.05 0.25 8.68441
0.05 0.35 10.5016
0.05 0.45 12.3284
0.05 0.55 14.1468
0.05 0.65 15.9358
0.05 0.75 17.671
0.05 0.85 19.325
0.05 0.95 20.8676
0.05 1.05 22.2659
0.05 1.15 23.485
0.05 1.25 24.4888
0.05 1.35 25.2406
0.05 1.45 25.7041
0.05 1.55 25.8446
0.05 1.65 25.6298
0.05 1.75 25.031
0.05 1.85 24.0246
0.05 1.95 22.5929
0.05 2.05 20.7254
0.05 2.15 18.4195
0.05 2.25 15.6819
0.05 2.35 12.5291
